,NAME_x,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges,NAME_y,LATITUDE,LONGITUDE,Absolute Net Income,Sign Net Income
32,FORT LOGAN HOSPITAL,110 METKER TRAIL,STANFORD,KY,40484,LINCOLN,R,139.58,"4,620",25,"9,125",878,"50,604",25,"9,125",878,2232.0,25.0,9125.0,878.0,192842.0,2785377.0,1098880.0,1098880.0,11744750.0,9132777.0,1023342.0,21998276.0,13027578.0,54868956.0,67896534.0,0,0,0,0,0,0,1493050.0,0,0,9522207.0,-6099350.0,432310.0,141599.0,0,5489816.0,0.0,0,0,0,14121985.0,3236867.0,574243.0,0,8910.0,0,20683327.0,24503347.0,0,0,0,0,0,24503347.0,-10381362.0,-10381362.0,14121985.0,0,0,13112029.0,56748546.0,69860575.0,25023030.0,20877527.0,4145503.0,-2127895.0,2017608.0,0,2017608.0,0.32,7340668.0,11140392.0,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,37.54279432,-84.65303656,2017608.0,+
33,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,R,249.22,"1,794",25,"3,075",506,"9,152",35,"4,305",506,1502.0,21.0,2583.0,506.0,483840.0,3569208.0,2225732.0,2487568.0,5438578.0,15129616.0,982495.0,18416446.0,7424091.0,54169157.0,61593248.0,0,0,0,0,0,0,26627.0,0,0,38781669.0,-26468153.0,1746310.0,0,0,33459468.0,0.0,11159320.0,4377847.0,32110936.0,101736404.0,1387619.0,1374872.0,45260.0,0,0,8792111.0,17228816.0,0,0,0,0,0,17228816.0,84507588.0,84507588.0,101736404.0,0,0,8850089.0,58172212.0,67022301.0,20605350.0,20568194.0,37156.0,3245695.0,3282851.0,0,3282851.0,0.3,1514762.0,5941780.0,TUG VALLEY ARH REGIONAL MEDICAL CENTER,37.67651064,-82.29702272,3282851.0,+
34,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,R,249.22,"1,794",25,"3,075",506,"9,152",35,"4,305",506,1502.0,21.0,2583.0,506.0,483840.0,3569208.0,2225732.0,2487568.0,5438578.0,15129616.0,982495.0,18416446.0,7424091.0,54169157.0,61593248.0,0,0,0,0,0,0,26627.0,0,0,38781669.0,-26468153.0,1746310.0,0,0,33459468.0,0.0,11159320.0,4377847.0,32110936.0,101736404.0,1387619.0,1374872.0,45260.0,0,0,8792111.0,17228816.0,0,0,0,0,0,17228816.0,84507588.0,84507588.0,101736404.0,0,0,8850089.0,58172212.0,67022301.0,20605350.0,20568194.0,37156.0,3245695.0,3282851.0,0,3282851.0,0.3,1514762.0,5941780.0,"TRANSYLVANIA COMMUNITY HOSPITAL, INC. AND BRIDGEWAY",35.2561391,-82.71191029,3282851.0,+
35,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,R,249.22,"1,794",25,"3,075",506,"9,152",35,"4,305",506,1502.0,21.0,2583.0,506.0,483840.0,3569208.0,2225732.0,2487568.0,5438578.0,15129616.0,982495.0,18416446.0,7424091.0,54169157.0,61593248.0,0,0,0,0,0,0,26627.0,0,0,38781669.0,-26468153.0,1746310.0,0,0,33459468.0,0.0,11159320.0,4377847.0,32110936.0,101736404.0,1387619.0,1374872.0,45260.0,0,0,8792111.0,17228816.0,0,0,0,0,0,17228816.0,84507588.0,84507588.0,101736404.0,0,0,8850089.0,58172212.0,67022301.0,20605350.0,20568194.0,37156.0,3245695.0,3282851.0,0,3282851.0,0.3,1514762.0,5941780.0,TRANSYLVANIA REGIONAL HOSPITAL,35.2559271,-82.7120587,3282851.0,+
36,ANGEL MEDICAL CENTER,120 RIVERVIEW STREET,FRANKLIN,NC,28744-,MACON,R,200.92,"2,127",25,"3,075",560,"10,814",25,"3,075",560,1469.0,20.0,2460.0,560.0,473541.0,3565617.0,2143933.0,2143933.0,4734509.0,14698814.0,826366.0,18529997.0,9131290.0,59644357.0,68775647.0,0,0,0,0,0,0,56138.0,0,0,44986223.0,-33252331.0,1767765.0,10017.0,250878.0,15003809.0,0.0,0,2222232.0,2222232.0,40616493.0,1242942.0,1059921.0,38497.0,707016.0,0,1820612.0,4868988.0,0,0,0,7309302.0,7309302.0,12178290.0,28438203.0,28438203.0,40616493.0,0,0,9084288.0,62813193.0,71897481.0,18795452.0,19433323.0,-637871.0,1066927.0,429056.0,0,429056.0,0.27,1642829.0,5908103.0,ANGEL MEDICAL CENTER,35.18466142,-83.37868892,429056.0,+
37,RIVERVIEW PSYCHIATRIC HOSPITAL,250 ARSENAL STREET,AUGUSTA,ME,04332-,KENNEBEC,R,312.19,"11,250",92,"13,984",102,"11,250",92,"13,984",102,11250.0,92.0,13984.0,102.0,0,0,0,0,6866783.0,10499726.0,309990.0,15786927.0,10097704.0,1038.0,10098742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17366509.0,-17366509.0,0,-17366509.0,0,-17366509.0,,0,0,RIVERVIEW PSYCHIATRIC CENTER,44.29949223,-69.77060727,17366509.0,-
38,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,MITCHELL,R,176.53,"1,608",25,"3,075",409,"16,692",25,"3,075",409,1293.0,25.0,3075.0,409.0,276392.0,2874149.0,1602313.0,1868371.0,4319440.0,11162440.0,817864.0,14515077.0,4578229.0,43917941.0,48496170.0,0,0,0,0,0,0,8421645.0,5951202.0,0,34305445.0,-25111528.0,1415898.0,0,0,25720762.0,0.0,2447231.0,2249525.0,4696756.0,61840174.0,461498.0,0,35980.0,0,234835.0,9959476.0,21841299.0,0,168923.0,0,0,168923.0,22010222.0,39829952.0,39829952.0,61840174.0,0,0,5619938.0,44979005.0,50598943.0,14893250.0,15481880.0,-588630.0,1855337.0,1266707.0,0,1266707.0,0.3,1316287.0,5286750.0,"BLUE RIDGE REGIONAL HOSPITAL, INC",35.91099,-82.06277435,1266707.0,+
40,SSH - THE VILLAGES,5050 COUNTY ROAD 472,OXFORD,FL,34484,SUMTER,U,23.92,"2,530",40,"14,600",76,"2,530",40,"14,600",76,2530.0,40.0,14600.0,76.0,0,0,0,0,1813609.0,2824249.0,292962.0,4786360.0,14381238.0,1482144.0,15863382.0,0,0,1813609.0,0,0,0,0,0,0,4134579.0,0,0,11636.0,116193.0,4262408.0,0.0,0,7811978.0,-15445279.0,653607.0,798363.0,422873.0,0,0,0,0,1221236.0,0,0,0,0,0,1221236.0,-567629.0,-567629.0,653607.0,0,0,15863382.0,0,15863382.0,4519216.0,4637857.0,-118641.0,9648.0,-108993.0,-1015.0,-107978.0,0.3,0,0,SELECT SPECIALTY HOSPITAL-THE VILLAGES INC,28.9098084,-82.01955424,107978.0,-
41,SIOUX SAN HOSPITAL,3200 CANYON LAKE DRIVE,RAPID CITY,SD,57702,PENNINGTON,U,240.00,,,,,,,,,,,,,0,0,0,0,10368268.0,18893485.0,555434.0,9523516.0,0,118116.0,118116.0,1.0,0,10368268.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29261753.0,-29261753.0,0,-29261753.0,0,-29261753.0,,0,0,PHS INDIAN HOSPITAL AT RAPID CITY SIOUX SAN,44.07420252,-103.2716884,29261753.0,-
42,KINDRED REHAB HOSPITAL NE HOUSTON,18839 MCKAY BLVD,HUMBLE,TX,77338,HARRIS,U,95.90,"5,833",46,"9,752",451,"5,833",46,"9,752",451,5833.0,46.0,9752.0,451.0,0,0,0,0,3838210.0,4679782.0,89398.0,8350523.0,13471958.0,932935.0,14404893.0,519133.0,0,3838210.0,367926.0,0,0,-54615.0,0,0,4409814.0,-1163944.0,65346.0,297246.0,0,3560591.0,0.0,0,1455000.0,1455000.0,5770961.0,599636.0,440781.0,25012.0,0,0,538244.0,1603673.0,0,0,0,3520940.0,3520940.0,5124613.0,646348.0,646348.0,5770961.0,0,0,13471958.0,932935.0,14404893.0,9813593.0,8517992.0,1295601.0,13803.0,1309404.0,0,1309404.0,,0,0,PAM REHABILITATION HOSPITAL OF HUMBLE,29.9920682,-95.279015,1309404.0,+
43,UNIVERSITY MEDICAL CENTER,1411 BADDOUR PARKWAY,LEBANON,TN,37087,WILSON,U,306.19,"10,014",170,"46,410","2,542","17,285",245,"66,885","3,447",7266.0,158.0,43134.0,2542.0,3590915.0,11438063.0,4996110.0,8725981.0,20375076.0,39931862.0,4523166.0,58480857.0,224242446.0,305124508.0,529366954.0,4399422.0,0,20375076.0,65196.0,0,0,-14087.0,0,0,29818086.0,-18524940.0,3103822.0,791830.0,162387.0,15337098.0,0.0,0,2880540.0,2880540.0,74112377.0,2427495.0,2110334.0,261840.0,354669.0,0,681630.0,71816316.0,0,159643.0,0,0,159643.0,71975959.0,2136418.0,2136418.0,74112377.0,4491224.0,0,224242446.0,305025889.0,529268335.0,56789948.0,60306938.0,-3516990.0,98455.0,-3418535.0,0,-3418535.0,0.11,5396348.0,82610401.0,VANDERBILT WILSON COUNTY HOSPITAL,36.22160565,-86.32762032,3418535.0,-
49,ENCOMPASS HEALTH REHABILITATION HOSP,13031 WORTHAM CENTER DRIVE,HOUSTON,TX,77065,HARRIS,U,155.43,"17,942",60,"21,900","1,352","17,942",60,"21,900","1,352",17942.0,60.0,21900.0,1352.0,0,0,0,0,10836795.0,11969217.0,344374.0,20591083.0,42380256.0,337293.0,42717549.0,0,0,10836795.0,0,0,0,4696983.0,0,0,3723562.0,-962528.0,83837.0,263586.0,0,7805440.0,0.0,0,5415207.0,5415207.0,14426483.0,611473.0,648048.0,0,0,0,1926536.0,3186057.0,0,0,0,3894664.0,3894664.0,7080721.0,7345762.0,7345762.0,14426483.0,0,0,42383511.0,334037.0,42717548.0,26220349.0,22806012.0,3414337.0,235099.0,3649436.0,1.0,3649435.0,,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CYPRESS,29.92033796,-95.61340961,3649435.0,+
51,EMORY HILLANDALE HOSPITAL,2801 DEKALB MEDICAL PARKWAY,LITHONIA,GA,30058,DEKALB,U,479.44,"3,023",90,"5,580",685,"3,023",90,"5,580",685,2696.0,82.0,5084.0,685.0,1659177.0,5550669.0,2664689.0,2666872.0,5455941.0,6760590.0,450853.0,11138989.0,18603730.0,44314310.0,62918040.0,1056369.0,0,5455941.0,727534.0,0,0,23385767.0,0,0,61511880.0,-48396373.0,1178597.0,0,0,39142324.0,0.0,0,301313.0,301313.0,68946978.0,3607012.0,0,0,0,0,1971658.0,5578670.0,0,72260713.0,0,1432905.0,73693618.0,79272288.0,-10335823.0,-10335823.0,68936465.0,1170800.0,0,19748390.0,43173346.0,62921736.0,19752524.0,12216531.0,7535993.0,154223.0,7690216.0,0,7690216.0,0.18,1915791.0,9502649.0,DEKALB MEDICAL CENTER AT HILLANDALE,33.70522032,-84.14798272,7690216.0,+
52,ENCOMPASS HEALTH REHABILITATION HOSP,2121 BUSINESS CENTER DRIVE,PEARLAND,TX,77584,BRAZORIA,U,128.91,"13,924",40,"14,600","1,090","13,924",40,"14,600","1,090",13924.0,40.0,14600.0,1090.0,0,0,0,0,9676995.0,10083858.0,1439118.0,19298939.0,32671190.0,0,32671190.0,0,0,9676995.0,0,0,0,3979185.0,0,0,3371089.0,-646326.0,98296.0,37889.0,0,6840133.0,0.0,0,5422057.0,5422057.0,29625180.0,854763.0,492032.0,0,0,0,499161.0,1845956.0,0,0,0,4238431.0,4238431.0,6084387.0,23540793.0,23540793.0,29625180.0,0,0,32671191.0,0,32671191.0,21766546.0,19760853.0,2005693.0,18414.0,2024107.0,0,2024107.0,,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PEARLAND,29.57290582,-95.38983333,2024107.0,+
53,PERHAM MEMORIAL HOSPITAL AND HOME,1000 CONEY STREET WEST,PERHAM,MN,56573,,R,283.71,"2,548",25,"9,125",868,"48,621",121,"44,165",868,2125.0,25.0,9125.0,868.0,70904.0,1324123.0,919356.0,3088806.0,26728853.0,31605742.0,4611387.0,43628599.0,24365180.0,58599631.0,82964811.0,0,0,0,0,0,0,2356940.0,10368593.0,0,8470898.0,0,918381.0,207810.0,0,22322622.0,0.0,20035821.0,4637411.0,24673232.0,83948429.0,3347852.0,2179306.0,0,1194173.0,0,188972.0,6910303.0,0,0,0,40364091.0,40364091.0,47274394.0,36674035.0,36674035.0,83948429.0,0,0,25677028.0,72414303.0,98091331.0,55356412.0,59658718.0,-4302306.0,4762582.0,460276.0,0,460276.0,0.53,4546588.0,12771314.0,PERHAM HEALTH,46.59380923,-95.59316041,460276.0,+
57,TEXAS SCOTTISH RITE HOSPITAL FOR CRI,2222 WELBORN STREET,DALLAS,TX,75219,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,32.8019769,-96.81431331,0.0,+
58,PALM POINT BEHAVIORAL HEALTHCARE,2355 TRUMAN SCARBOROUGH WAY,TITUSVILLE,FL,32796,BREVARD,U,69.61,"6,728",74,"23,384",676,"6,728",74,"23,384",676,6728.0,74.0,23384.0,676.0,0,0,0,0,3586221.0,7742375.0,852950.0,6410915.0,14159200.0,182800.0,14342000.0,0,0,0,0,0,0,-28580.0,0,0,4011891.0,-3178863.0,21423.0,2376.0,0,834329.0,0.0,0,15313.0,15313.0,22318955.0,208508.0,200591.0,124722.0,0,0,313463.0,847284.0,0,0,0,30892374.0,30892374.0,31739658.0,-9420703.0,-9420703.0,22318955.0,0,0,14822036.0,182800.0,15004836.0,4236835.0,11328596.0,-7091761.0,15668.0,-7076093.0,0,-7076093.0,,0,0,PALM POINT BEHAVIORAL HEALTH,28.64035396,-80.83000754,7076093.0,-
59,KPC PROMISE HOSPITAL OF WICHITA FALL,1103 GRACE STREET,WICHITA FALLS,TX,76301,WICHITA,U,104.00,"2,060",31,"2,418",111,"2,060",31,"2,418",111,2060.0,31.0,2418.0,111.0,0,0,0,0,921866.0,1030739.0,23028.0,1935450.0,5803432.0,0,5803432.0,0,0,0,0,0,0,1835.0,0,0,5142566.0,-3485416.0,96791.0,4635.0,0,1763175.0,0.0,0,0,-928118.0,1042255.0,115382.0,71897.0,95960.0,0,0,393613.0,676852.0,0,0,0,0,0,676852.0,365403.0,365403.0,1042255.0,0,0,5803432.0,0,5803432.0,2318008.0,1952605.0,365403.0,0,365403.0,0,365403.0,,0,0,PROMISE HOSPITAL OF WICHITA FALLS,33.90275832,-98.49939511,365403.0,+
