NAME,ADDRESS,LATITUDE,LONGITUDE
SHRINERS' HOSPITAL FOR CHILDREN,51 BLOSSOM ST,42.36309255,-71.06630188
SPAULDING REHABILITATION HOSPITAL,300 FIRST AVENUE,42.37850908,-71.04905555
DR JOHN C CORRIGAN MENTAL HEALTH CENTER,49 HILLSIDE STREET,41.70748691,-71.14571447
BAY RIDGE HOSPITAL BEVERLY,60 GRANITE STREET,42.47162011,-70.95676093
ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS,222 STATE STREET,42.15577594,-72.47207734
T J HEALTH COLUMBIA,901 WESTLAKE DRIVE,37.09664157,-85.29454565
DECATUR COUNTY HOSPITAL,1405 NORTHWEST CHURCH STREET,40.75093467,-93.74694077
ANDERSON COUNTY HOSPITAL,421 SOUTH MAPLE STREET,38.27972106,-95.25177323
KEARNY COUNTY HOSPITAL,500 THORPE STREET,37.94659327,-101.2519299
OTTAWA COUNTY HEALTH CENTER,215 E 8TH STREET,39.12933196,-97.70394425
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,42.2771,-71.2369
VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,4499 ACUSHNET AVENUE,41.74072523,-70.94575361
NORWOOD HOSPITAL,800 WASHINGTON ROAD,42.189,-71.2021
SPAULDING REHABILITATION HOSPITAL CAPE COD,311 SERVICE ROAD,41.7329845,-70.46810284
CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,230 HIGHLAND AVENUE,42.39,-71.1094
SHRINERS' HOSPITAL FOR CHILDREN,516 CAREW ST,42.12131503,-72.59237295
MERCY HOSPITAL FORT SMITH,7301 ROGERS AVENUE,35.35586599,-94.35205497
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FORT SMITH,1401 SOUTH J STREET,35.37394031,-94.41875448
UNITY HEALTH WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,35.25188604,-91.69700113
BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,3050 TWIN RIVERS DRIVE,34.12291357,-93.08882416
MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,36.3590621,-93.55182577
EUREKA SPRINGS HOSPITAL,24 NORRIS STREET,36.40016379,-93.74423592
BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,33.61036413,-92.05925489
ST. BERNARDS FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,36.28976027,-90.99738763
DALLAS COUNTY MEDICAL CENTER,201 NORTH CLIFTON STREET,33.81085539,-92.42558764
CRITTENDEN HOSPITAL ASSOCIATION,200 WEST TYLER AVENUE,35.14311024,-90.18909851
OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,33.57582113,-92.83673933
NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,36.23653136,-93.10913937
STONE COUNTY MEDICAL CENTER,"2106 EAST MAIN STREET, HIGHWAY 14 EAST",35.85658313,-92.08286453
PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE,36.39011947,-90.20483796
BAPTIST HEALTH MEDICAL CENTER - HEBER SPRINGS,1800 BYPASS ROAD,35.50450113,-91.9979985
CHI ST. VINCENT MORRILTON,4 HOSPITAL DRIVE,35.16801491,-92.72135132
UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET,34.74902515,-92.32013731
BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,34.78365489,-92.22340916
UNITED METHODIST BEHAVIORAL HOSPITAL,1601 MURPHY DRIVE,34.87643567,-92.39441325
LEVI HOSPITAL,300 PROSPECT AVENUE,34.50989707,-93.05757749
HOT SPRINGS REHABILITATION CENTER,105 RESERVE STREET,34.51212501,-93.05260787
CHI ST VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,34.46802567,-93.06627041
BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,1001 SCHNEIDER DRIVE,34.35877404,-92.7858884
ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,7500 CORRECTIONS CIRCLE,34.22219143,-92.08268605
JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,34.18773469,-92.0176802
ENCOMPASS HEALTH REHABILITATION HOSPITAL-A PARTNER OF WASHINGTON REGIONAL,153 EAST MONTE PAINTER DRIVE,36.10909938,-94.15484504
MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,4700 WATERS AVENUE,32.03053088,-81.08886242
VANTAGE POINT OF NORTHWEST ARKANSAS,4253 CROSSOVER ROAD,36.12789076,-94.11985143
NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,4301 GREATHOUSE SPRINGS ROAD,36.13551027,-94.18621922
ASCENSION NE WISCONSIN - ST ELIZABETH CAMPUS,1506 S ONEIDA ST,44.24825124,-88.40250968
MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,34.5890536,-94.22163124
MERCY HOSPITAL BOONEVILLE,880 WEST MAIN STREET,35.14032192,-93.93517063
MERCY HOSPITAL PARIS,500 EAST ACADEMY,35.28929334,-93.72487855
CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,35.21955792,-90.78664054
BAPTIST HEALTH REHABILITATION INSTITUTE,9601 BAPTIST HEALTH DRIVE,34.74429608,-92.38181609
ASCENSION SACRED HEART REHABILITATION HOSPITAL,"2301 N LAKE DRIVE, 8TH FLOOR",43.06145544,-87.88038438
SANTA CRUZ VALLEY HOSPITAL,4455 SOUTH I-19 FRONTAGE RD,31.80657111,-111.0100185
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ROAD,34.5175108,-91.55829954
CASEY COUNTY HOSPITAL,187 WOLFORD AVENUE,37.31771681,-84.93317191
MARCUM AND WALLACE MEMORIAL HOSPITAL,60 MERCY COURT,37.7061971,-83.97727714
HIGHLANDS REGIONAL MEDICAL CENTER,5000 KENTUCKY ROUTE 321,37.72901006,-82.76732008
NORTON WOMEN'S AND CHILDREN'S HOSPITAL,4001 DUTCHMANS LANE,38.23533009,-85.63293693
UOFL HEALTH - MARY AND ELIZABETH HOSPITAL,1850 BLUEGRASS AVENUE,38.17826438,-85.79391641
THE BROOK - DUPONT,1405 BROWNS LANE,38.23569663,-85.62734095
BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,38.39489019,-85.37606515
ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,42.27641208,-71.79491979
EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,200 SPRINGS ROAD,42.5047,-71.2744
AMESBURY HEALTH CENTER,24 MORRILL PLACE,42.8484144,-70.93338025
BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS,ONE DEACONESS RD,42.3379,-71.1092
"ARBOUR HOSPITAL, THE",49 ROBINWOOD AVENUE,42.31581841,-71.11227314
BEVERLY HOSPITAL ADDISON GILBERT CAMPUS,298 WASHINGTON STREET,42.6255,-70.6806
VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,111 HUNTOON MEMORIAL HIGHWAY,42.20189928,-71.89882734
WORCESTER RECOVERY CENTER AND HOSPITAL,309 BELMONT STREET,42.27966719,-71.76906694
HOULTON REGIONAL HOSPITAL,20 HARTFORD STREET,46.13384624,-67.84362347
NORTHERN LIGHT INLAND HOSPITAL,200 KENNEDY MEMORIAL DRIVE,44.54182648,-69.66149107
MAINEGENERAL MEDICAL CENTER,6 EAST CHESTNUT STREET,44.31311976,-69.76843437
MAINEGENERAL MEDICAL CENTER-SETON,30 CHASE AVENUE,44.54919273,-69.65867356
SAINT ANDREWS HOSPITAL AND HEALTHCARE CENTER,6 SAINT ANDREWS LANE,43.85034393,-69.6387693
MIDMICHIGAN MEDICAL CENTER-GLADWIN,515 QUARTER STREET,43.97594367,-84.49388756
HELEN NEWBERRY JOY HOSPITAL,502 W HARRIE ST,46.35318009,-85.51565374
MUNISING MEMORIAL HOSPITAL,1500 SAND POINT RD,46.42527107,-86.6251853
BOURNEWOOD HOSPITAL,300 SOUTH STREET,42.29831857,-71.14928568
SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,620 BYRON RD,42.61558756,-83.9409904
HILLSDALE HOSPITAL,168 S HOWELL STREET,41.91173869,-84.63300353
DMC SURGERY HOSPITAL,30671 STEPHENSON HIGHWAY,42.51788754,-83.12010727
LAKELAND HOSPITAL WATERVLIET,400 MEDICAL PARK DR,42.18488046,-86.24992583
MCLAREN CENTRAL MICHIGAN,1221 SOUTH DRIVE,43.59912248,-84.76141286
SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,43.95814794,-86.43040938
BRONSON LAKEVIEW HOSPITAL,408 HAZEN STREET,42.22129436,-85.89707006
DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,43.52811921,-82.73424915
HENRY FORD HOSPITAL,2799 W GRAND BLVD,42.36768678,-83.08472312
MAYO CLINIC ALBERT LEA AUSTIN,404 WEST FOUNTAIN STREET,43.6523607,-93.3727523
MAYO CLINIC HEALTH SYS CF,32021 COUNTY 24 BOULEVARD,44.48616464,-92.9032023
MAYO CLINIC HEALTH SYSTEM,800 MEDICAL CENTER DRIVE,43.63880146,-94.450437
MAYO CLINIC HEALTH SYSTEM S F,625 JACKSON ST N,44.24661914,-94.97108361
HARRY S. TRUMAN MEMORIAL VETERANS HOSPITAL,800 HOSPITAL DR,38.93666726,-92.32905785
VIBRA HOSPITAL OF CENTRAL DAKOTAS,1000 18TH ST NW,46.8418693,-100.9076977
JACOBSON MEMORIAL HOSPITAL & CARE CENTER,601 EAST ST N,46.40732581,-101.8414635
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1515 N MADISON AVE,40.13064559,-85.69320918
MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,41.68405529,-86.25157885
PAM SPECIALTY HOSPITAL OF LAS VEGAS LLC,2500 NORTH TENAYA,36.20553077,-115.2503564
DESERT SPRINGS HOSPITAL MEDICAL CENTER,2075 EAST FLAMINGO ROAD,36.11395958,-115.1245052
EASTERN REGIONAL MEDICAL CENTER,1331 EAST WYOMING AVENUE,40.01881298,-75.09946405
THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,39.94970838,-75.15794605
PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,39.95887248,-75.19926368
ST JOSEPHS HOSPITAL,16TH STREET & GIRARD AVENUE,39.97148609,-75.16319015
VA MEDICAL CENTER - PHILADELPHIA,UNIVERSITY & WOODLAND AVENUES,39.94788477,-75.20007509
GEISINGER MEDICAL CENTER,100 NORTH ACADEMY AVENUE,40.96814496,-76.60525611
NORTHSIDE HOSPITAL - CHEROKEE,450 NORTHSIDE CHEROKEE BOULEVARD,34.229238,-84.466259
"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",260 MJ TAYLOR ROAD,31.10819893,-83.42737285
NORTHERN MONTANA HOSPITAL,30 13TH ST,48.53807731,-109.6858178
MUSC MEDICAL CENTER,169 ASHLEY AVE,32.78588204,-79.94792136
VERITAS COLLABORATIVE GEORGIA,41 PERIMETER CENTER EAST,33.9242473,-84.33106507
PAGE MEMORIAL HOSPITAL,200 MEMORIAL DRIVE,38.66325,-78.468518
ROBINSON MEMORIAL HOSPITAL,6847 N CHESTNUT,41.17605775,-81.2490173
DELL CHILDRENS MEDICAL CENTER,4900 MUELLER BLVD,30.30311083,-97.70702246
COOK CHILDREN'S MEDICAL CENTER,801 SEVENTH AVENUE,32.73707173,-97.34140504
ARBOR HEALTH MORTON GENERAL HOSPITAL,521 ADAMS ST,46.55567481,-122.2803544
"INDIANA SPINE HOSPITAL, LLC",13219 N MERIDIAN STREET,39.98041995,-86.15347262
ASCENSION SE WISCONSIN HOSPITAL - ELMBROOK CAMPUS,19333 W NORTH AVE,43.0593759,-88.15451943
ASCENSION SE WISCONSIN HOSPITAL - FRANKLIN CAMPUS,10101 SOUTH 27TH STREET,42.86001258,-87.9540681
ASCENSION SE WISCONSIN HOSPITAL - ST JOSEPH CAMPUS,5000 W CHAMBERS ST,43.07412025,-87.9760734
ASCENSION ST CLARES HOSPITAL,3400 MINISTRY PARKWAY,44.89018231,-89.58014599
ASCENSION ST FRANCIS HOSPITAL,3237 S 16TH ST,42.98565775,-87.93465729
ASCENSION ST MARYS HOSPITAL,2251 NORTH SHORE DR,45.63947041,-89.37482659
MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,39.7448932,-84.18590861
ASCENSION ST MICHAELS HOSPITAL,900 ILLINOIS AVE,44.52643184,-89.56709621
ASPIRUS RIVERVIEW HSPTL ASSOC,410 DEWEY STREET,44.38175803,-89.82988944
ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,44.96584185,-89.66789021
AURORA LAKELAND MEDICAL CENTER,W3985 CTY RD NN,42.66189503,-88.49619199
AURORA MEDICAL CTR WASHINGTON COUNTY,1032 E SUMNER ST,43.31840584,-88.36246156
AURORA MEDICAL CTR KENOSHA,10400 75TH ST,42.56939682,-87.93546502
AURORA MEDICAL CTR MANITOWOC COUNTY,5000 MEMORIAL DR,44.12536783,-87.61945613
MAJOR HOSPITAL,2451 INTELLIPLEX DRIVE,39.560356,-85.785817
COVENANT CHILDREN'S HOSPITAL,4015 22ND PLACE,33.57340325,-101.900592
PARKVIEW WABASH HOSPITAL,10 JOHN KISSINGER DRIVE,40.820937,-85.823901
NEURO BEHAVIORAL HOSPITAL,9330 BROADWAY,41.44880307,-87.33726012
PERRY COUNTY MEMORIAL HOSPITAL,8885 SR 237,37.967931,-86.731667
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,810 12TH STREET,45.70483197,-121.5239086
RIVERSIDE MEDICAL CENTER,350 N WALL ST,41.12508686,-87.88189889
BLUE MOUNTAIN HOSPITAL,170 FORD ROAD,44.41711272,-118.9596915
VASSAR BROTHERS MEDICAL CENTER,45 READE PL,41.69385894,-73.93578611
ERIE COUNTY MEDICAL CENTER,462 GRIDER ST,42.9250771,-78.83114577
STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,43.12280887,-77.62425943
NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DR,40.77763592,-73.70161094
NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TPKE,40.72625551,-73.55373802
SOUTH NASSAU COMMUNITIES HOSPITAL,1 HEALTHY WAY,40.650998,-73.63083944
UNIVERSITY HOSPITAL SUNY HEALTH SCIENCE CENTER,750 E ADAMS ST,43.04189732,-76.13983046
ST. LUKE'S CORNWALL HOSPITAL - NEWBURGH CAMPUS,70 DUBOIS ST,41.50342485,-74.01456558
PARKLAND MEDICAL CENTER,ONE PARKLAND DRIVE,42.87677117,-71.31666154
ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN STREET,41.44191408,-74.36831227
SAMARITAN HOSPITAL,2215 BURDETT AVE,42.73329249,-73.672164
CANTON-POTSDAM HOSPITAL,50 LEROY ST,44.67651062,-74.98211632
PEACEHEALTH PEACE ISLAND MEDICAL CENTER,1117 SPRING ST,48.52677897,-123.0296011
MONTEFLORE NYACK HOSPITAL,160 N MIDLAND AVE,41.09621147,-73.92601813
SARATOGA HOSPITAL,211 CHURCH ST,43.08588022,-73.79678273
