,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
10,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,R,248.23,"1,530",45,"2,655",334,"4,576",67,"3,953",368,1530,45,2655,334,0,1850253,457790,457790,2423954,2971411,347544,5422521,5236845,16940619,22177464,256541,9153,2423954,0,0,0,200113,0,0,26468375,-21475680,566124,327726,0,6086658,0,0,641530,641530,33177765,6715855,1173568,3724,871441,22265,3014818,11934329,0,20310858,0,0,20310858,32245187,932578,932578,33177765,40832,0,5565312,16612152,22177464,4885260,5395365,-510105,19032,-491073,0,-491073,0.24,1253663,7225724
11,SSM - ST. FRANCIS HOSPITAL,2016 SOUTH MAIN STREET,MARYVILLE,MO,64468,NODAWAY,R,66.88,"1,149",38,"3,420",317,"21,183",52,"4,680",483,761,38,3420,317,484688,876753,1042569,1559104,7366568,10735462,168835,13079980,8210211,20392797,28603008,1530471,619071,7362058,217383,1705,0,3743518,0,0,5693387,-4499156,7017,61965,0,14783647,0,0,765091,765091,15548738,542494,41804,2142,0,765091,3205243,4556774,0,-22500,0,0,-22500,4534274,11014464,11014464,15548738,0,0,8574364,23223367,31797731,15942782,18102030,-2159248,2775337,616089,0,616089,0.46,785327,3265422
12,RANSOM MEMORIAL HOSPITAL,1301 SOUTH MAIN,OTTAWA,KS,66067-3598,FRANKLIN,R,102.36,"1,434",47,"5,640",469,"6,544",47,"5,640",469,1315,42,5040,469,86707,2574985,1439995,1827809,6951391,7869104,737198,10753669,7009590,26482085,33491675,1179840,75444,6951391,80000,0,0,2347188,0,0,17142043,-11398166,895081,383773,0,9727520,0,1239726,-220,1239506,32178378,1939956,2242198,0,306976,0,612633,5101763,0,0,0,-200,-200,5101563,27076815,27076815,32178378,0,0,7183479,28454292,35637771,15691036,14820495,870541,812042,1682583,1850171,-167588,0.32,733877,3493439
13,KENNEDY UNIVERSITY HOSPITAL,500 MARLBORO AVENUE,CHERRY HILL,NJ,8034,CAMDEN,U,"3,169.84","63,080",522,"94,482",13305,"84,156",522,"94,482","13,305",54553,455,82355,13305,4007446,17059657,6927232,14498768,118201649,171505468,15981049,254444052,1208425312,604523749,1812949061,25481927,0,117141251,2054948,0,54586,36976433,222871803,0,106822366,0,11985648,0,4361626,383017876,0,14843493,373910900,388754393,1291837386,55569463,22195195,0,1568587,315965,4166511,83815720,598758437,0,0,58884000,657642437,741458157,550379229,550379229,1291837386,16233738,6840514,1208425315,604523750,1812949065,293356093,289707117,3648976,50176099,53825075,0,53825075,0.14,41079674,372262657
14,MARION COUNTY MEDICAL CENTER,289 EAST HWY 76,MULLINS,SC,29574,MARION,R,115.63,"2,941",94,"14,194",744,"15,252",186,"28,086",744,2473,84,12684,744,753988,4851848,1559894,2390109,5949098,29383678,1076626,14721171,36142785,57832930,93975715,1051835,0,5949098,346957,0,0,-90451,0,0,18291105,-11266282,1109485,272238,0,8316095,0,0,-9329378,-9329378,14423170,3114777,1580536,0,0,0,73981,150582270,0,0,0,0,0,150582270,-136159100,-136159100,14423170,793921,0,36142785,57832930,93975715,16956802,35332776,-18375974,106921,-18269053,0,-18269053,0.16,1903483,17451105
15,SPRINGS MEMORIAL HOSPITAL,800 WEST MEETING STREET,LANCASTER,SC,29720,LANCASTER,R,113.02,"4,554",166,"14,940",1135,"7,428",215,"19,350","1,266",3877,146,13140,1135,1693048,14880255,3229675,5086810,8160637,46499168,166917,24771544,111527758,134074979,245602737,1595627,0,8160637,110142,0,0,-1472175,0,0,74449375,-64219724,3027182,903729,199602,12887989,0,0,2150700,2150700,20202408,2371558,3453078,0,434671,0,367931,220133863,0,1459576,0,19634,1479210,221613073,-201410665,-201410665,20202408,397657,0,111527759,134074979,245602738,22624345,54659805,-32035460,65673,-31969787,0,-31969787,0.1,1527799,44387979
16,CHESTER REGIONAL MEDICAL CENTER,ONE MEDICAL PARK DRIVE,CHESTER,SC,29706,CHESTER,R,47.75,"1,163",36,"5,436",340,"2,574",116,"17,516",340,1160,30,4530,340,931635,2760267,1691305,3782256,3702412,13617902,652448,16982320,19720067,42719004,62439071,411855,0,3702412,0,0,0,-406857,0,0,10859834,-7037076,740054,346399,7025,4509379,0,0,1151313,1151313,17569871,435340,955015,97205,0,0,80010,31230453,0,0,0,0,0,31230453,-13660582,-13660582,17569871,648691,0,19720067,42719004,62439071,10531583,17320314,-6788731,30111,-6758620,0,-6758620,0.27,1563433,13436126
17,ASHEVILLE SPECIALTY HOSPITAL  LLC,428 BILTMORE AVENUE,ASHEVILLE,NC,28801,BUNCOMBE,U,32.37,"3,058",34,"4,182",104,"3,058",34,"4,182",104,3058,34,4182,104,0,0,0,0,2151821,2424818,104864,5817495,13061584,0,13061584,0,0,0,0,0,0,5762361,0,0,6145591,-3780352,184161,163323,0,8533810,0,0,0,0,9013661,1122104,489153,21497,0,0,0,1632908,0,0,0,0,0,1632908,7380753,7380753,9013661,0,0,13061584,0,13061584,5555276,4576639,978637,54959,1033596,0,1033596,,0,0
18,NORTHWEST MS MEDICAL CENTER,1970 HOSPITAL DRIVE,CLARKSDALE,MS,38614,COAHOMA,R,301.39,"4,737",181,"27,331",860,"4,737",181,"27,331",860,3428,171,25821,860,0,1850819,321910,854985,6515912,9247956,-64235,15357657,45863764,86844925,132708689,1747608,0,6515912,13237,0,0,0,0,0,40931908,-32042571,14812,366274,0,9270423,0,0,93190,93190,9374809,1508841,0,0,0,0,408200,1917041,0,0,0,5745882,5745882,7662923,1711886,1711886,9374809,174174,0,46747697,86182104,132929801,17300640,15763868,1536772,110246,1647018,0,1647018,0.12,3808357,37515078
19,LOUIS A. WEISS MEMORIAL HOSPITAL,4646 NORTH MARINE DRIVE,CHICAGO,IL,60640,COOK,R,307.34,"7,983",119,"14,756",1754,"9,611",144,"17,856","1,887",7005,103,12772,1754,657019,2532665,1287582,3042815,15504410,22098724,826065,31421130,115733494,93335297,209068791,2423092,0,15504410,179055,0,207151,3716262,0,0,51292048,-34504299,3260024,754225,0,24886542,0,0,0,0,30103511,13244628,1765514,2703002,0,0,-5511539,12201605,0,945561,0,6012257,6957818,19159423,10944088,10944088,30103511,2248328,1980838,115733494,93660479,209393973,35692816,37603134,-1910318,293328,-1616990,0,-1616990,0.15,5716982,53627473
20,JANE PHILLIPS MEDICAL CENTER,3500 SE FRANK PHILLIPS BLVD,BARTLESVILLE,OK,74006-,WASHINGTON,R,463.64,"10,150",81,"22,113",3146,"12,567",114,"27,246","3,341",8054,73,19929,3146,4120860,8404632,7637819,7944545,23499370,53394925,4226749,67453887,82462727,222807576,305270303,4455643,0,23499370,9483,0,0,133875,0,0,55862941,-43189711,2598813,397512,0,16881716,0,-146802576,210236,-146592340,-92478391,2458217,2812096,130531,0,0,10267817,15668661,0,0,0,805799,805799,16474460,-108952851,-108952851,-92478391,1280022,303969,82462728,222807576,305270304,84970194,76894295,8075899,3994919,12070818,21744,12049074,0.22,4541563,25974006
21,ST. JOHN OWASSO,12451 E. 100TH ST. NORTH,OWASSO,OK,74055,TULSA,U,154.71,"2,192",32,"5,792",894,"2,192",32,"5,792",894,1798,32,5792,894,1071734,1887381,1957408,2164331,5002152,9332978,1108270,13896141,12958174,50886465,63844639,1078438,0,4959105,42087,0,0,9858,0,0,16128211,-11827348,629774,-1801,0,5746731,0,-33152568,157590,-32994978,11110186,500479,878106,36101,0,0,2570520,3985206,0,0,0,0,0,3985206,7124980,7124980,11110186,0,0,12952404,50892233,63844637,17679649,14335130,3344519,125259,3469778,781,3468997,0.22,985598,6837508
22,COVENANT MEDICAL CENTER,3615 19TH ST,LUBBOCK,TX,79410,LUBBOCK,U,"2,113.00","49,451",380,"68,780",8977,"49,451",380,"68,780","8,977",34819,283,51223,8977,14408637,1526104,22211245,22290433,68398208,133037246,12452915,192387590,1290665853,680297175,1970963028,8283144,0,68398208,876949,0,0,6709512,0,0,246877936,-176630949,8026512,0,61632233,146615244,0,0,27376526,27376526,444592321,13769650,9338487,0,11911119,0,21051944,61846496,0,-44867472,0,3363590,-41503882,20342614,424249707,424249707,444592321,18000303,356344,1290665853,680297175,1970963028,227366372,201435454,25930918,20275081,46205999,0,46205999,0.1,12316478,157372778
23,THE MCDOWELL HOSPITAL,430 RANKIN DRIVE,MARION,NC,28752,MC DOWELL,R,243.45,"2,774",49,"6,027",679,"31,541",49,"6,027",679,2636,40,4920,679,667120,6032153,2830989,3622343,6338867,15142503,1144907,20455594,13747857,63569890,77317747,916023,405805,6338867,0,0,0,4768302,0,0,48966636,-37338684,1392947,3785,0,19506198,0,15000,935711,950711,80678071,800000,2790068,0,0,356265,4965440,19282701,0,20639229,0,158333,20797562,40080263,40597808,40597808,80678071,0,0,13747856,65676735,79424591,24352149,21481370,2870779,2391710,5262489,0,5262489,0.26,1914939,10229217
24,WALTER B JONES LAKESIDE,2577 WEST FIFTH STREET,GREENVILLE,NC,27834,PITT,U,138,"2,377",48,"4,272",218,"2,377",48,"4,272",218,2377,48,4272,218,0,0,0,0,2308725,1789040,141496,4105956,2246773,0,2246773,0,0,2308725,0,0,0,0,0,0,36205,0,5411,0,0,41616,0,0,0,0,1856602,0,0,0,0,36183,0,36183,0,0,0,0,0,36183,1820419,1820419,1856602,0,0,29164,0,29164,29164,955682,-926518,7847,-918671,0,-918671,1.83,0,0
25,HIGHLANDS CASHIERS HOSPITAL,HIGHWAY 64E,HIGHLANDS,NC,28741-,MACON,R,84.52,"1,053",24,"2,952",77,"3,813",24,"2,952",77,201,24,2952,77,37501,683084,528132,627594,1926310,3193598,394819,5305943,1283280,8240647,9523927,0,0,0,0,0,0,15936,0,0,5464786,-3865655,544774,0,0,16821850,0,0,2452005,2452005,34246760,605690,429871,340,0,0,3344001,6157913,0,0,0,0,0,6157913,28088847,28088847,34246760,0,0,1283280,8588806,9872086,3816942,5119908,-1302966,2785450,1482484,0,1482484,0.56,162586,470364
26,WEST SUBURBAN HOSP MED CTR,3 ERIE COURT,OAK PARK,IL,60302,COOK,U,748.27,"6,863",135,"12,555",1622,"8,889",174,"16,182","1,622",4940,114,10602,1622,1327083,3251077,1917646,6126587,15056679,23035389,1523399,31810848,113202226,125129657,238331883,2955750,0,15056679,332696,0,0,-871628,0,0,66165259,-42107179,3814225,847084,0,31119022,0,0,0,0,35860280,8704926,3768611,510942,0,0,14434811,27419290,0,0,0,9335184,9335184,36754474,-894194,-894194,35860280,2393867,773013,113202226,125129657,238331883,31062884,38092068,-7029184,359910,-6669274,0,-6669274,0.13,3463291,73782466
27,GOOD SHEPHERD MEDICAL CENTER,811 SOUTH WASHINGTON,MARSHALL,TX,75670,HARRISON,U,"1,900.79","50,440",336,"89,999",13924,"55,673",361,"96,824","14,397",38915,263,70070,13924,25408326,123360892,46135616,46697300,96177537,191522686,11948352,254999335,739285122,1059226135,1798511257,19547053,0,96177537,3162432,0,0,40338489,0,0,412614591,-382844558,8113863,2296640,0,87349563,0,39495440,3395398,42890838,338372925,5795601,9875955,0,1909126,0,1613916,19194598,0,62425851,0,78579511,141005362,160199960,178172965,178172965,338372925,16850999,1826286,739285123,1059226290,1798511413,299497418,287700223,11797195,7794102,19591297,14154,19577143,0.14,24094833,218579269
28,KINDRED REHAB HOSPITAL CLEAR LAKE,655 E. MEDICAL CENTER BLVD.,WEBSTER,TX,77598,HARRIS,U,108.1,"6,176",60,"12,720",489,"6,176",60,"12,720",489,6176,60,12720,489,0,0,0,0,4324738,4809518,158065,8588297,15204719,1315233,16519952,652344,0,4324738,52344,0,0,2192,0,0,4164944,-1210909,86000,229252,0,3274533,0,0,2836389,2836389,10639269,586116,477959,22910,0,0,679644,1766629,0,0,0,8804399,8804399,10571028,68241,68241,10639269,0,0,15204719,1315233,16519952,9556128,9134256,421872,31133,453005,0,453005,,0,0
29,SCENIC MOUNTAIN MEDICAL CENTER,1601 W 11TH PLACE,BIG SPRINGS,TX,79720-,HOWARD,R,251.55,"1,830",75,"7,650",685,"2,411",95,"9,690",730,1510,67,6834,685,33457,6302297,1142725,1142725,7037390,10338953,602398,10829641,23465121,42553614,66018735,1041624,153495,7037390,80443,0,0,22541,0,0,17360510,-7712657,0,0,34701,9705095,0,0,-406893,-406893,9413155,839883,391881,1141,0,0,154748,-3489088,0,0,0,0,0,-3489088,12902243,12902243,9413155,0,0,23462971,48188185,71651156,11730723,17376343,-5645620,121632,-5523988,0,-5523988,0.16,0,0
30,SCOTT & WHITE CEDAR PARK,900 E WHITESTONE BLVD,CEDAR PARK,TX,78613,WILLIAMSON,U,27.03,4,8,"1,448",3,4,8,"1,448",3,4,8,1448,3,14997,51101,28167,195413,980736,2146785,41424,2849690,156419,10900758,11057177,156197,0,980736,900,0,0,-1,0,0,582983,0,94305,272938,0,3292077,0,0,0,0,3418881,168287,100760,392,0,381913,28069,1148775,0,0,0,0,0,1148775,2270106,2270106,3418881,0,0,156419,10916055,11072474,2550332,3127521,-577189,91176,-486013,0,-486013,0.26,67094,909270
31,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635-,ASHLEY,R,218.13,"4,061",25,"9,125",816,"43,029",35,"12,775",914,2374,19,6935,816,282089,2357381,1283009,1646662,18002678,18511589,1856071,29807533,20288545,48357941,68646486,0,0,0,0,0,0,41454,0,0,7995796,-4252199,983037,214151,0,6012525,0,687337,515162,1202499,17238904,1786604,1475429,0,0,0,0,3262033,0,4208376,0,0,4208376,7470409,9768495,9768495,17238904,0,0,19954242,54364809,74319051,34841989,36514267,-1672278,2102269,429991,0,429991,0.43,2765770,7207032
32,FORT LOGAN HOSPITAL,110 METKER TRAIL,STANFORD,KY,40484,LINCOLN,R,139.58,"4,620",25,"9,125",878,"50,604",25,"9,125",878,2232,25,9125,878,192842,2785377,1098880,1098880,11744750,9132777,1023342,21998276,13027578,54868956,67896534,0,0,0,0,0,0,1493050,0,0,9522207,-6099350,432310,141599,0,5489816,0,0,0,0,14121985,3236867,574243,0,8910,0,20683327,24503347,0,0,0,0,0,24503347,-10381362,-10381362,14121985,0,0,13112029,56748546,69860575,25023030,20877527,4145503,-2127895,2017608,0,2017608,0.32,7340668,11140392
33,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,R,249.22,"1,794",25,"3,075",506,"9,152",35,"4,305",506,1502,21,2583,506,483840,3569208,2225732,2487568,5438578,15129616,982495,18416446,7424091,54169157,61593248,0,0,0,0,0,0,26627,0,0,38781669,-26468153,1746310,0,0,33459468,0,11159320,4377847,32110936,101736404,1387619,1374872,45260,0,0,8792111,17228816,0,0,0,0,0,17228816,84507588,84507588,101736404,0,0,8850089,58172212,67022301,20605350,20568194,37156,3245695,3282851,0,3282851,0.3,1514762,5941780
34,ANGEL MEDICAL CENTER,120 RIVERVIEW STREET,FRANKLIN,NC,28744-,MACON,R,200.92,"2,127",25,"3,075",560,"10,814",25,"3,075",560,1469,20,2460,560,473541,3565617,2143933,2143933,4734509,14698814,826366,18529997,9131290,59644357,68775647,0,0,0,0,0,0,56138,0,0,44986223,-33252331,1767765,10017,250878,15003809,0,0,2222232,2222232,40616493,1242942,1059921,38497,707016,0,1820612,4868988,0,0,0,7309302,7309302,12178290,28438203,28438203,40616493,0,0,9084288,62813193,71897481,18795452,19433323,-637871,1066927,429056,0,429056,0.27,1642829,5908103
35,RIVERVIEW PSYCHIATRIC HOSPITAL,250 ARSENAL STREET,AUGUSTA,ME,04332-,KENNEBEC,R,312.19,"11,250",92,"13,984",102,"11,250",92,"13,984",102,11250,92,13984,102,0,0,0,0,6866783,10499726,309990,15786927,10097704,1038,10098742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17366509,-17366509,0,-17366509,0,-17366509,,0,0
36,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,MITCHELL,R,176.53,"1,608",25,"3,075",409,"16,692",25,"3,075",409,1293,25,3075,409,276392,2874149,1602313,1868371,4319440,11162440,817864,14515077,4578229,43917941,48496170,0,0,0,0,0,0,8421645,5951202,0,34305445,-25111528,1415898,0,0,25720762,0,2447231,2249525,4696756,61840174,461498,0,35980,0,234835,9959476,21841299,0,168923,0,0,168923,22010222,39829952,39829952,61840174,0,0,5619938,44979005,50598943,14893250,15481880,-588630,1855337,1266707,0,1266707,0.3,1316287,5286750
37,FAIRFIELD MEMORIAL HOSPITAL,102 US HWY 31 BYPASS NORTH,WINSBORO,SC,29180-0620,FAIRFIELD,U,12.17,,25,"9,125",,,25,"9,125",,,25,9125,,116801,40553,130995,130995,837001,1854556,87202,2070896,0,2317771,2317771,0,0,0,0,0,0,69741,0,0,104028,-100855,0,26767,0,109799,0,588345,1441382,2029727,2905958,1988905,9536,0,1364028,0,18859,3381328,0,230503,0,10545567,10776070,14157398,-11251440,-11251440,2905958,0,0,0,2393581,2393581,1478017,2691557,-1213540,265753,-947787,-250076,-697711,0.89,12503,51496
38,SSH - THE VILLAGES,5050 COUNTY ROAD 472,OXFORD,FL,34484,SUMTER,U,23.92,"2,530",40,"14,600",76,"2,530",40,"14,600",76,2530,40,14600,76,0,0,0,0,1813609,2824249,292962,4786360,14381238,1482144,15863382,0,0,1813609,0,0,0,0,0,0,4134579,0,0,11636,116193,4262408,0,0,7811978,-15445279,653607,798363,422873,0,0,0,0,1221236,0,0,0,0,0,1221236,-567629,-567629,653607,0,0,15863382,0,15863382,4519216,4637857,-118641,9648,-108993,-1015,-107978,0.3,0,0
